s,sr,t,tr,sl,gd,nsl,nsld,un
20138.807940419443,1430.19,102.00000000000091,92.6,15.277777777777777,2,22.22222222222222,20283,1
20140.464205016746,1428.54,102.00000000000091,92.4,15.277777777777777,2,22.22222222222222,20283,1
20142.157532899393,1426.84,102.00000000000091,92.2,15.277777777777777,2,22.22222222222222,20283,1
20143.887879309077,1425.11,102.00000000000091,92.0,15.277777777777777,2,22.22222222222222,20283,1
20145.655198912125,1423.34,102.00000000000091,91.8,15.277777777777777,2,22.22222222222222,20283,1
20147.459445802506,1421.54,102.00000000000091,91.6,15.277777777777777,2,22.22222222222222,20283,1
20149.300573504865,1419.7,102.00000000000091,91.4,15.277777777777777,2,22.22222222222222,20283,1
20151.178534977604,1417.82,102.00000000000091,91.2,15.277777777777777,2,22.22222222222222,20283,1
20153.093282615973,1415.91,102.00000000000091,91.0,15.277777777777777,2,22.22222222222222,20283,1
20155.04476825521,1413.96,102.00000000000091,90.8,15.277777777777777,2,22.22222222222222,20283,1
20157.0329431737,1411.97,102.00000000000091,90.6,15.277777777777777,2,22.22222222222222,20283,1
20159.057758096154,1409.94,102.00000000000091,90.4,15.277777777777777,2,22.22222222222222,20283,1
20161.119163196836,1407.88,102.00000000000091,90.2,15.277777777777777,2,22.22222222222222,20283,1
20163.217108102817,1405.78,102.00000000000091,90.0,15.277777777777777,2,22.22222222222222,20283,1
20165.35154189725,1403.65,102.00000000000091,89.8,15.277777777777777,2,22.22222222222222,20283,1
20167.522413122664,1401.48,102.00000000000091,89.6,15.277777777777777,2,22.22222222222222,20283,1
20169.72966978432,1399.27,102.00000000000091,89.4,15.277777777777777,2,22.22222222222222,20283,1
20171.97325935356,1397.03,102.00000000000091,89.2,15.277777777777777,2,22.22222222222222,20283,1
20174.253128771194,1394.75,102.00000000000091,89.0,15.277777777777777,2,22.22222222222222,20283,1
20176.569224450923,1392.43,102.00000000000091,88.8,15.277777777777777,2,22.22222222222222,20283,1
20178.921492282778,1390.08,102.00000000000091,88.6,15.277777777777777,2,22.22222222222222,20283,1
20181.30987763659,1387.69,102.00000000000091,88.4,15.277777777777777,2,22.22222222222222,20283,1
20183.734325365484,1385.27,102.00000000000091,88.2,15.277777777777777,2,22.22222222222222,20283,1
20186.194779809393,1382.81,102.00000000000091,88.0,15.277777777777777,2,22.22222222222222,20283,1
20188.691184798612,1380.31,102.00000000000091,87.8,15.277777777777777,2,22.22222222222222,20283,1
20191.223483657355,1377.78,102.00000000000091,87.6,15.277777777777777,2,22.22222222222222,20283,1
20193.791619207346,1375.21,102.00000000000091,87.4,15.277777777777777,2,22.22222222222222,20283,1
20196.39553377144,1372.6,102.00000000000091,87.2,15.277777777777777,2,22.22222222222222,20283,1
20199.035169177256,1369.96,102.00000000000091,87.0,15.277777777777777,2,22.22222222222222,20283,1
20201.71046676084,1367.29,102.00000000000091,86.8,15.277777777777777,2,22.22222222222222,20283,1
20204.421367370334,1364.58,102.00000000000091,86.6,15.277777777777777,2,22.22222222222222,20283,1
20207.167811369694,1361.83,102.00000000000091,86.4,15.277777777777777,2,22.22222222222222,20283,1
20209.9497386424,1359.05,102.00000000000091,86.2,15.277777777777777,2,22.22222222222222,20283,1
20212.76708859521,1356.23,102.00000000000091,86.0,15.277777777777777,2,22.22222222222222,20283,1
20215.599800161912,1353.4,102.00000000000091,85.8,15.277777777777777,2,22.22222222222222,20283,0
20218.427846751634,1350.57,102.00000000000091,85.6,15.277777777777777,2,22.22222222222222,20283,0
20221.251236472326,1347.75,102.00000000000091,85.4,15.277777777777777,2,22.22222222222222,20283,0
20224.06997740789,1344.93,102.00000000000091,85.2,15.277777777777777,2,22.22222222222222,20283,0
20226.884077618255,1342.12,102.00000000000091,85.0,15.277777777777777,2,22.22222222222222,20283,0
20229.693545139497,1339.31,102.00000000000091,84.8,15.277777777777777,2,22.22222222222222,20283,0
20232.498387983906,1336.5,102.00000000000091,84.6,15.277777777777777,2,22.22222222222222,20283,0
20235.29861414009,1333.7,102.00000000000091,84.4,15.277777777777777,2,22.22222222222222,20283,0
20238.09423157307,1330.91,102.00000000000091,84.2,15.277777777777777,2,22.22222222222222,20283,0
20240.885248224367,1328.11,102.00000000000091,84.0,15.277777777777777,2,22.22222222222222,20283,0
20243.67167201209,1325.33,102.00000000000091,83.8,15.277777777777777,2,22.22222222222222,20283,0
20246.45351083103,1322.55,102.00000000000091,83.6,15.277777777777777,2,22.22222222222222,20283,0
20249.230772552753,1319.77,102.00000000000091,83.4,15.277777777777777,2,22.22222222222222,20283,0
20252.003465025686,1317.0,102.00000000000091,83.2,15.277777777777777,2,22.22222222222222,20283,0
20254.771596075203,1314.23,102.00000000000091,83.0,15.277777777777777,2,22.22222222222222,20283,0
20257.535173503722,1311.46,102.00000000000091,82.8,15.277777777777777,2,22.22222222222222,20283,0
20260.294205090788,1308.71,102.00000000000091,82.6,15.277777777777777,2,22.22222222222222,20283,0
20263.048698593157,1305.95,102.00000000000091,82.4,15.277777777777777,2,22.22222222222222,20283,0
20265.798661744895,1303.2,102.00000000000091,82.2,15.277777777777777,2,22.22222222222222,20283,0
20268.544102257456,1300.46,102.00000000000091,82.0,15.277777777777777,2,22.22222222222222,20283,0
20271.28502781977,1297.71,102.00000000000091,81.8,15.277777777777777,2,22.22222222222222,20283,0
20274.021446098333,1294.98,102.00000000000091,81.6,15.277777777777777,2,22.22222222222222,20283,0
20276.753364737287,1292.25,102.00000000000091,81.4,15.277777777777777,2,22.22222222222222,20283,0
20279.48079135851,1289.52,102.00000000000091,81.2,15.277777777777777,2,22.22222222222222,20283,0
20282.2037335617,1286.8,102.00000000000091,81.0,15.277777777777777,2,22.22222222222222,20283,0
20284.922198924454,1284.08,102.00000000000091,80.8,22.22222222222222,2,15.277777777777777,21449,0
20287.636195002367,1281.36,102.00000000000091,80.6,22.22222222222222,2,15.277777777777777,21449,0
20290.3657293291,1278.63,102.00000000000091,80.4,22.22222222222222,2,15.277777777777777,21449,1
20293.130775601767,1275.87,102.00000000000091,80.2,22.22222222222222,2,15.277777777777777,21449,1
20295.931273453556,1273.07,102.00000000000091,80.0,22.22222222222222,-3,15.277777777777777,21449,1
20298.7681420429,1270.23,102.00000000000091,79.8,22.22222222222222,-3,15.277777777777777,21449,1
20301.642298343082,1267.36,102.00000000000091,79.6,22.22222222222222,-3,15.277777777777777,21449,1
20304.553677116433,1264.45,102.00000000000091,79.4,22.22222222222222,-3,15.277777777777777,21449,1
20307.502152014727,1261.5,102.00000000000091,79.2,22.22222222222222,-3,15.277777777777777,21449,1
20310.487116873563,1258.51,102.00000000000091,79.0,22.22222222222222,-3,15.277777777777777,21449,1
20313.50757510786,1255.49,102.00000000000091,78.8,22.22222222222222,-3,15.277777777777777,21449,1
20316.562584955314,1252.44,102.00000000000091,78.6,22.22222222222222,-3,15.277777777777777,21449,1
20319.6512551603,1249.35,102.00000000000091,78.4,22.22222222222222,-3,15.277777777777777,21449,1
20322.77274108464,1246.23,102.00000000000091,78.2,22.22222222222222,-3,15.277777777777777,21449,1
20325.926241194484,1243.07,102.00000000000091,78.0,22.22222222222222,-3,15.277777777777777,21449,1
20329.110993879534,1239.89,102.00000000000091,77.8,22.22222222222222,-3,15.277777777777777,21449,1
20332.326274566705,1236.67,102.00000000000091,77.6,22.22222222222222,-3,15.277777777777777,21449,1
20335.571393095444,1233.43,102.00000000000091,77.4,22.22222222222222,-3,15.277777777777777,21449,1
20338.845691326078,1230.15,102.00000000000091,77.2,22.22222222222222,-3,15.277777777777777,21449,1
20342.148540956292,1226.85,102.00000000000091,77.0,22.22222222222222,-3,15.277777777777777,21449,1
20345.479341523864,1223.52,102.00000000000091,76.8,22.22222222222222,-3,15.277777777777777,21449,1
20348.837518576514,1220.16,102.00000000000091,76.6,22.22222222222222,-3,15.277777777777777,21449,1
20352.22252199199,1216.78,102.00000000000091,76.4,22.22222222222222,-3,15.277777777777777,21449,1
20355.633824433506,1213.37,102.00000000000091,76.2,22.22222222222222,-3,15.277777777777777,21449,1
20359.07091992739,1209.93,102.00000000000091,76.0,22.22222222222222,-3,15.277777777777777,21449,1
20362.53332255127,1206.47,102.00000000000091,75.8,22.22222222222222,-3,15.277777777777777,21449,1
20366.020565222396,1202.98,102.00000000000091,75.6,22.22222222222222,-3,15.277777777777777,21449,1
