,s,v
160,283.0600000000004,20.080000000000048
161,287.09000000000043,20.22000000000005
162,291.1480000000004,20.36000000000005
163,295.23400000000044,20.50000000000005
164,299.34800000000047,20.64000000000005
165,303.49000000000046,20.78000000000005
166,307.6600000000005,20.92000000000005
167,311.8580000000005,21.060000000000052
168,316.0840000000005,21.200000000000053
169,320.33800000000053,21.340000000000053
170,324.6200000000006,21.480000000000054
171,328.9300000000006,21.620000000000054
172,333.2680000000006,21.760000000000055
173,337.6340000000006,21.900000000000055
174,342.0280000000006,22.040000000000056
175,346.4500000000006,22.180000000000057
176,350.9000000000006,22.22222222222222
177,355.33044444444505,22.08222222222222
178,359.7348888888895,21.96222222222222
179,364.11733333333393,21.86222222222222
180,368.48177777777835,21.78222222222222
181,372.8302222222228,21.702222222222222
