,s,vbar,v,t,p,acc
211,441.3382951681888,18.894064532876172,18.96594301990137,42.20000000000006,0.0,0.0
212,445.129190232823,18.89371629380861,18.943007626454598,42.40000000000006,0.0,0.0
213,448.9155032162307,18.89346144075621,18.92012220763011,42.600000000000065,0.0,0.0
214,452.6972440976351,18.8933009429554,18.897286606403924,42.80000000000007,0.0,0.0
215,456.47442282491465,18.893235786707617,18.87450066640834,43.00000000000007,0.0,0.0
216,460.2592073598207,18.893266975739063,18.973344682648037,43.200000000000074,22.293119753731652,1.0
217,464.0515811432051,18.893136196554618,18.950393151187743,43.40000000000008,0.0,0.0
218,467.83936962283406,18.892841722098,18.92749164509151,43.60000000000008,0.0,0.0
219,471.6225827880553,18.89264336120567,18.904640007123128,43.80000000000008,0.0,0.0
220,475.401230596839,18.89254214406613,18.881838080703783,44.000000000000085,0.0,0.0
221,479.1874720395972,18.892539119433387,18.98057634688396,44.20000000000009,22.285311402589468,1.0
222,482.9812905786057,18.89237056350139,18.9576090432044,44.40000000000009,0.0,0.0
223,486.7705206643768,18.892034664139594,18.934691814497004,44.600000000000094,0.0,0.0
224,490.55517229615725,18.89179669650704,18.911824503318005,44.8000000000001,0.0,0.0
225,494.3352554417761,18.891657737415763,18.889006952882127,45.0000000000001,0.0,0.0
226,498.12292033727863,18.891618883483357,18.987642002138564,45.2000000000001,22.277690010881333,1.0
227,501.91815046585907,18.89141075554063,18.964659283667512,45.400000000000105,0.0,0.0
228,505.7087890630937,18.89103145017395,18.941726688668243,45.60000000000011,0.0,0.0
229,509.4948461379099,18.890751957030968,18.91884405949401,45.80000000000011,0.0,0.0
230,513.2763316677738,18.89057340250248,18.896011239157605,46.000000000000114,0.0,0.0
231,517.0532555988211,18.890496934134898,18.87322807132794,46.20000000000012,0.0,0.0
232,520.8377874499274,18.890523721109382,18.97209043974868,46.40000000000012,22.29447482978008,1.0
233,524.6299106582337,18.89037658583397,18.9491416432966,46.60000000000012,0.0,0.0
234,528.4174491089252,18.890053509283263,18.92624286360786,46.800000000000125,0.0,0.0
235,532.2004127896325,18.889833375441444,18.90339394348223,47.00000000000013,0.0,0.0
236,535.9788116566197,18.889717386166687,18.880594726376682,47.20000000000013,0.0,0.0
237,539.7648062197331,18.889706766470514,18.979350904743143,47.400000000000134,22.286634004836536,1.0
238,543.5583799376145,18.889518085483004,18.956386274083883,47.600000000000136,0.0,0.0
239,547.3473657360228,18.889149217686793,18.933471709988236,47.80000000000014,0.0,0.0
240,551.1317736125275,18.888885368869804,18.910607055047617,48.00000000000014,0.0,0.0
241,554.9116135332843,18.888727798817676,18.88779215251175,48.200000000000145,0.0,0.0
242,558.6990372170512,18.888677792129855,18.986444685153245,48.40000000000015,22.278980965055254,1.0
