s,v
20268.544102257456,13.71590559007666
20271.28502781977,13.693350033071097
20274.021446098333,13.670832752552062
20276.753364737287,13.648353636979431
20279.48079135851,13.625912575239152
20282.2037335617,13.603509456641202
20284.922198924454,13.581144170917556
20287.636195002367,13.558816608220168
20290.3657293291,13.736526659118962
20293.130775601767,13.913936067560154
20295.931273453556,14.091042450344204
20298.7681420429,14.277643443089545
20301.642298343082,14.46391955874988
20304.553677116433,14.649868174769727
20307.502152014727,14.834880808160218
20310.487116873563,15.014767780177774
20313.50757510786,15.189814562764434
20316.562584955314,15.360283911792914
20319.6512551603,15.52641813807303
20322.77274108464,15.688441105311878
20325.926241194484,15.846559993149286
20329.110993879534,16.000966857362172
20332.326274566705,16.151840014363717
20335.571393095444,16.299345273011316
20338.845691326078,16.44363703331907
20342.148540956292,16.584859268817922
20345.479341523864,16.723146406916406
20348.837518576514,16.858624119605164
20352.22252199199,16.991410035152292
20355.633824433506,17.12161438000037
20359.07091992739,17.249340558855977
20362.53332255127,17.374685679922713
20366.020565222396,17.49774103134004
20369.532198576944,17.61859251412836
20373.067789931985,17.737321036285785
20376.626922322826,17.85400287211755
20380.209193609076,17.968709990391023
20383.814215643564,18.08151035448665
20387.441613498748,18.192468197348003
20391.091024745852,18.30164427371447
20394.76209878241,18.409096091841278
20398.45449620426,18.514878126667764
20402.167888218544,18.619042016180973
20405.901956094414,18.721636742534216
20409.6563906486,18.82270879931493
20413.430891763153,18.92230234621083
20417.225167932993,19.020459352194628
20421.038935841036,19.11721972823397
20424.871919958903,19.212621450432373
20428.723852171388,19.306700674417414
20432.594471423003,19.399491841712823
20436.48352338505,19.491027778760195
20440.390760141847,19.58133978919272
20444.315939894757,19.67045773990684
20448.25882668289,19.75841014142701
20452.219190119333,19.845224223013517
20456.196805141928,19.930926002922444
20460.19145177764,20.01554035419041
20464.202914919686,20.09909106628364
20468.230984116606,20.181600902921378
20472.275453372535,20.26309165635674
20476.336120958007,20.34358419837404
20480.412789230668,20.423098528239617
20484.505264465275,20.501653817823463
20488.613356692465,20.57926845409093
20492.736879545788,20.65596007914752
20496.875650116504,20.73174562800494
20501.029488815726,20.806641364223104
20505.198219243506,20.880662913570497
20509.381668064445,20.953825295834207
20513.57966488952,21.026142954900596
20517.792042163732,21.097629787218377
20522.01863505933,21.168299168747314
20526.259281374252,21.238163980487943
20530.51382143557,21.30723663268062
20534.78209800761,21.375529087755663
20539.063956204598,21.443052882110337
20543.35924340749,21.50981914678294
20547.667809184877,21.575838627089233
20551.989505217713,21.64112170128172
20556.314819985022,21.612025971806865
20560.634322659917,21.58300077714719
20564.948027324517,21.55404586887676
20569.255948011378,21.52516099973405
20573.558098703714,21.496345923615152
20577.85449333563,21.467600395566976
20582.145145792365,21.438924171780553
20586.4300699105,21.410317009584347
20590.709279478204,21.381778667437633
20594.98278823544,21.35330890492391
20599.25060987421,21.32490748274437
20603.512758038753,21.2965741627114
20607.7692463258,21.268308707742158
20612.02008828476,21.240110881852136
20616.265297417962,21.21198045014884
20620.504887180858,21.18391717882546
20624.738870982255,21.155920835154607
20628.96726218452,21.127991187482085
20633.19007410379,21.10012800522071
20637.407320010196,21.07233105884418
20641.619013128067,21.044600119880965
20645.825166636147,21.016934960908255
20650.02579366779,20.98933535554596
20654.22090731119,20.961801078450726
20658.410520609566,20.934331905310003
20662.59464656138,20.906927612836164
20666.77329812054,20.87958797876065
20670.9464881966,20.852312781828164
20675.114229654962,20.825101801790897
20679.276535317083,20.7979548194028
20683.433417960667,20.770871616413892
20687.584890319864,20.743851975564606
20691.730965085477,20.71689568058018
20695.87165490515,20.690002516165077
20700.006972383566,20.663172267997442
20704.136930082637,20.636404722723615
20708.261540521704,20.609699667952654
20712.380816177723,20.58305689225092
20716.494769485464,20.55647618513667
20720.603412837685,20.52995733707473
20724.70675858534,20.503500139471154
